Business License,Business Name,Address,City,State,Zip Code,Location,Last Inspection Date
09FOOD-0294,Pope John XXIII School,1120 WASHINGTON ST,Evanston,IL,60202,"1120 WASHINGTON ST
Evanston, IL 60202
(42.032845, -87.688395)",04/05/2019
12FOOD-0027,Unity Nursery School,827 FOSTER ST,Evanston,IL,60201,"827 FOSTER ST
Evanston, IL 60201
(42.053904, -87.683112)",04/03/2019
10FOOD-0019,The Grove of Evanston,500 ASBURY AVE,Evanston,IL,60202,"500 ASBURY AVE
Evanston, IL 60202
(42.026955, -87.690101)",04/02/2019
09FOOD-0073,The Olive Mountain,610 DAVIS ST,Evanston,IL,60201,"610 DAVIS ST
Evanston, IL 60201
(42.046362, -87.680327)",04/02/2019
15FOOD-0029,Whiskey Thief,616 DAVIS ST,Evanston,IL,60201,"616 DAVIS ST
Evanston, IL 60201
(42.046419, -87.680537)",04/04/2019
09FOOD-0131,Total Child Preschool & Childcare Center,516 CHURCH ST,Evanston,IL,60201,"516 CHURCH ST
Evanston, IL 60201
(42.047416, -87.677723)",04/03/2019
09FOOD-0299,Lincoln Elementary School,910 FOREST AVE,Evanston,IL,60202,"910 FOREST AVE
Evanston, IL 60202
(42.034298, -87.674847)",04/05/2019
09FOOD-0335,Tapas Barcelona,1615 CHICAGO AVE,Evanston,IL,60201,"1615 CHICAGO AVE
Evanston, IL 60201
(42.04685, -87.67937)",04/08/2019
14FOOD-0017,El Pueblito Mexican Grill 2,1805 HOWARD ST,Evanston,IL,60202,"1805 HOWARD ST
Evanston, IL 60202
(42.019385, -87.698301)",04/11/2019
16FOOD-0032,AFC Sushi@Jewel Osco #3428,1128 CHICAGO AVE,Evanston,IL,60202,"1128 CHICAGO AVE
Evanston, IL 60202
(42.039455, -87.680467)",04/15/2019
09FOOD-0029,Little Wok,2426 MAIN ST,Evanston,IL,60202,"2426 MAIN ST
Evanston, IL 60202
(42.033688, -87.706748)",04/15/2019
09FOOD-0121,Jewel Osco #3428,1128 CHICAGO AVE,Evanston,IL,60202,"1128 CHICAGO AVE
Evanston, IL 60202
(42.039455, -87.680467)",04/16/2019
09FOOD-0247,Bluestone Restaurant,1932 CENTRAL ST,Evanston,IL,60201,"1932 CENTRAL ST
Evanston, IL 60201
(42.064323, -87.700131)",04/16/2019
18FOOD-0015,Colectivo Coffee Roasters,716 CHURCH ST,Evanston,IL,60201,"716 CHURCH ST
Evanston, IL 60201
(42.048452, -87.681543)",04/16/2019
09FOOD-0302,Orrington Elementary School,2636 ORRINGTON AVE,Evanston,IL,60201,"2636 ORRINGTON AVE
Evanston, IL 60201
(42.065727, -87.679492)",04/18/2019
09FOOD-0041,IHOP #1203,100 ASBURY AVE,Evanston,IL,60202,"100 ASBURY AVE
Evanston, IL 60202
(42.019648, -87.690191)",04/17/2019
09FOOD-0304,Washington Elementary School,914 ASHLAND AVE,Evanston,IL,60202,"914 ASHLAND AVE
Evanston, IL 60202
(42.034665, -87.693049)",04/18/2019
15FOOD-0051,La Cocinita Restaurant,1625 CHICAGO AVE,Evanston,IL,60201,"1625 CHICAGO AVE
Evanston, IL 60201
(42.046823, -87.679382)",04/19/2019
09FOOD-0187,Aperion Care Evanston,1300 OAK AVE,Evanston,IL,60201,"1300 OAK AVE
Evanston, IL 60201
(42.041462, -87.686957)",04/19/2019
09FOOD-0385,Alden Estates of Evanston,2520 GROSS POINT RD,Evanston,IL,60201,"2520 GROSS POINT RD
Evanston, IL 60201
(42.063135, -87.729802)",04/22/2019
18FOOD-0017,Soban Korea,819 NOYES ST,Evanston,IL,60201,"819 NOYES ST
Evanston, IL 60201
(42.05844, -87.682601)",04/22/2019
12FOOD-0046,Bonsai Cafe,2916 CENTRAL ST,Evanston,IL,60201,"2916 CENTRAL ST
Evanston, IL 60201
(42.064438, -87.715277)",03/11/2019
09FOOD-0320,Campagnola,815 CHICAGO AVE,Evanston,IL,60202,"815 CHICAGO AVE
Evanston, IL 60202
(42.032611, -87.679133)",04/15/2019
14FOOD-0012,Bangers and Lace,810 GROVE ST,Evanston,IL,60201,"810 GROVE ST
Evanston, IL 60201
(42.045517, -87.68216)",04/23/2019
12FOOD-0023,Evanston Pub,1601 SHERMAN AVE,Evanston,IL,60201,"1601 SHERMAN AVE
Evanston, IL 60201
(42.047301, -87.681837)",09/13/2018
16FOOD-0010,Genghis Grill,707 CHURCH ST,Evanston,IL,60201,"707 CHURCH ST
Evanston, IL 60201
(42.048412, -87.681376)",09/20/2018
16FOOD-0001,Cupitol Coffee & Eatery,812 GROVE ST,Evanston,IL,60201,"812 GROVE ST
Evanston, IL 60201
(42.045561, -87.683665)",04/23/2019
09FOOD-0244,Food 4 Less Midwest #558,2400 MAIN ST,Evanston,IL,60202,"2400 MAIN ST
Evanston, IL 60202
(42.033665, -87.707728)",04/24/2019
09FOOD-0042,Bill's Drive-In,120 ASBURY AVE,Evanston,IL,60202,"120 ASBURY AVE
Evanston, IL 60202
(42.020035, -87.69019)",04/26/2019
09FOOD-0301,Oakton Elementary School,436 RIDGE AVE,Evanston,IL,60202,"436 RIDGE AVE
Evanston, IL 60202
(42.026243, -87.685417)",04/30/2019
09FOOD-0298,Kingsley Elementary School,2300 GREEN BAY RD,Evanston,IL,60201,"2300 GREEN BAY RD
Evanston, IL 60201
(42.05967, -87.694993)",04/30/2019
09FOOD-0295,Dawes Elementary School,440 DODGE AVE,Evanston,IL,60202,"440 DODGE AVE
Evanston, IL 60202
(42.026496, -87.699485)",04/30/2019
18FOOD-0044,Lao Sze Chuan,1633 ORRINGTON AVE,Evanston,IL,60201,"1633 ORRINGTON AVE
Evanston, IL 60201
(42.047861, -87.681017)",04/26/2019
09FOOD-0351,Panera Bread #645,1700 SHERMAN AVE,Evanston,IL,60201,"1700 SHERMAN AVE
Evanston, IL 60201
(42.048604, -87.681809)",05/01/2019
19FOOD-0004,Frontline North LLC,609 HOWARD ST A,Evanston,IL,60202,"609 HOWARD ST A
Evanston, IL 60202
(42.01946, -87.678366)",03/28/2019
17FOOD-0006,Good to Go Jamaican Cuisine,711 HOWARD ST,Evanston,IL,60202,"711 HOWARD ST
Evanston, IL 60202
(42.019477, -87.680973)",04/22/2019
10FOOD-0026,The Mather South,450 DAVIS ST,Evanston,IL,60201,"450 DAVIS ST
Evanston, IL 60201
(42.0456, -87.677463)",05/03/2019
09FOOD-0181,Sam's Club #6444,2450 MAIN ST,Evanston,IL,60202,"2450 MAIN ST
Evanston, IL 60202
(42.033663, -87.707497)",04/24/2019
09FOOD-0231,Siam Paragon,503 MAIN ST,Evanston,IL,60202,"503 MAIN ST
Evanston, IL 60202
(42.033935, -87.678144)",04/23/2019
09FOOD-0020,The Mather,425 DAVIS ST,Evanston,IL,60201,"425 DAVIS ST
Evanston, IL 60201
(42.045356, -87.676546)",05/03/2019
18FOOD-0016,Sushibox - SC6444,2450 MAIN ST,Evanston,IL,60202,"2450 MAIN ST
Evanston, IL 60202
(42.033663, -87.707497)",04/24/2019
13FOOD-0046,Homestead Meats & Deli,1305 CHICAGO AVE,Evanston,IL,60201,"1305 CHICAGO AVE
Evanston, IL 60201
(42.041389, -87.68059)",05/02/2019
18FOOD-0028,Hinman Hall,1835 HINMAN AVE,Evanston,IL,60201,"1835 HINMAN AVE
Evanston, IL 60201
(42.05002, -87.675926)",05/08/2019
18FOOD-0033,Rama Express,1601 SIMPSON ST 3,Evanston,IL,60201,"1601 SIMPSON ST 3
Evanston, IL 60201
(42.05572, -87.694275)",05/07/2019
18FOOD-0035,Fran's Cafe,1865 SHERMAN AVE,Evanston,IL,60201,"1865 SHERMAN AVE
Evanston, IL 60201
(42.051689, -87.681775)",05/08/2019
15FOOD-0018,Table To Stix Ramen,1007 DAVIS ST,Evanston,IL,60201,"1007 DAVIS ST
Evanston, IL 60201
(42.047057, -87.685391)",04/30/2019
18FOOD-0046,Bat17,1709 BENSON AVE,Evanston,IL,60201,"1709 BENSON AVE
Evanston, IL 60201
(42.048868, -87.683386)",05/07/2019
09FOOD-0358,Joy Yee's Noodles,521 DAVIS ST,Evanston,IL,60201,"521 DAVIS ST
Evanston, IL 60201
(42.045991, -87.678934)",05/10/2019
09FOOD-0129,The Salvation Army,1403 SHERMAN AVE,Evanston,IL,60201,"1403 SHERMAN AVE
Evanston, IL 60201
(42.042791, -87.681809)",05/10/2019
09FOOD-0287,Chute Middle School,1400 OAKTON ST,Evanston,IL,60202,"1400 OAKTON ST
Evanston, IL 60202
(42.026739, -87.691689)",05/14/2019
09FOOD-0291,Nichols Middle School,800 GREENLEAF ST,Evanston,IL,60202,"800 GREENLEAF ST
Evanston, IL 60202
(42.037586, -87.682766)",05/14/2019
09FOOD-0290,King Lab Magnet School,2424 LAKE ST,Evanston,IL,60201,"2424 LAKE ST
Evanston, IL 60201
(42.044054, -87.708099)",05/14/2019
14FOOD-0040,Lulu's - Taco Diablo - Five & Dime,1026 DAVIS ST,Evanston,IL,60201,"1026 DAVIS ST
Evanston, IL 60201
(42.047068, -87.686144)",05/13/2019
09FOOD-0388,Campus Kitchen Project at NU,1820 CHICAGO AVE,Evanston,IL,60201,"1820 CHICAGO AVE
Evanston, IL 60201
(42.050344, -87.677664)",05/10/2019
16FOOD-0033,North Shore Cider,707 HOWARD ST B & C,Evanston,IL,60202,"707 HOWARD ST B & C
Evanston, IL 60202
(42.019475, -87.680817)",12/07/2018
17FOOD-0020,Summer Food - Mason Park Site# 18796,1634 CHURCH AVE,Evanston,IL,60201,"1634 CHURCH AVE
Evanston, IL 60201
(42.048446, -87.69541)",07/17/2018
